Student_ID,Class_ID,Name,Gender,Date_of_Birth,Region of birth,Current state of residence,engagement_in_class,health_condition,Class Spec
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,SS3 Class A,Lisa Davis,Female,2009-09-28,South West,Akwa Ibom,Highly active,Dyslexia,Art
ac3c5640-3c20-492f-804a-96c4f3b63fe1,SS3 Class C,Robert Hernandez,Female,2007-02-22,South South,Abia,Highly active,Asthma,Art
79a28903-fbe3-4b24-beae-00320bd4a990,SS2 Class D,Patricia Gibson,Male,2008-03-09,North West,Adamawa,Active,None,Art
31c681ec-935f-4b0a-a138-4ddce2d9de5d,SS3 Class E,Janet Ross,Male,2008-03-27,North Central,Ogun,Slightly active,None,Science
016b6287-b008-45cc-a7f3-6ae925c73c44,SS1 Class C,Shannon Mcclure,Female,2008-03-27,South South,Enugu,Active,None,Art
2d06e8cf-3805-4907-acd6-6193c7468f59,SS3 Class C,Melissa Marshall,Female,2008-10-10,North West,Sokoto,Troublesome,None,Science
d92c9227-eadf-4085-bfcb-75468eb22579,SS3 Class A,Casey Marshall,Male,2006-11-16,North West,Gombe,Slightly active,None,Science
986f9025-8f15-4a58-bce6-850487f8424d,SS3 Class B,Pedro Ramos,Male,2008-07-15,South East,Cross River,Slightly active,None,Art
81392443-e45b-412e-b822-5688d0a44432,SS3 Class E,Terry Griffin,Male,2008-05-30,South South,Gombe,Troublesome,None,Art
79844388-dc8a-4e30-be60-33f728be9288,SS3 Class F,Paul Larsen,Male,2007-06-17,North West,Benue,Slightly active,None,Art
8573e793-c715-42b9-840c-5d9146fde062,SS2 Class C,Mr. Jeremiah Reeves,Female,2006-12-24,North East,Kaduna,Troublesome,Epilepsy,Art
51d87c64-55fa-4ab8-858f-1f193c07c574,SS2 Class F,Angela Hernandez,Male,2008-10-15,South South,Oyo,Troublesome,None,Art
b4d7e28e-271e-4ee2-b1a6-b1f1620e99d3,SS2 Class A,Jason Rivera,Male,2009-10-07,North Central,Niger,Highly active,None,Art
34f3193c-0ff0-455c-aa70-2e2f7746d0ba,SS2 Class E,Jean Carrillo,Female,2009-02-02,South South,Abia,Active,None,Science
db52ca58-0500-4bc6-b20d-cb6ef2311f17,SS2 Class C,Laura Woods,Female,2009-03-09,South South,Kaduna,Unactive,None,Art
c0e3befd-4c71-40fe-9a0c-dd7cf1578470,SS2 Class D,Steven Houston,Female,2009-03-23,North East,Edo,Troublesome,None,Science
8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,SS1 Class A,Stephanie Freeman,Female,2009-09-08,South South,Bauchi,Troublesome,Dyslexia,Art
