Student_ID,Fathers Name,Mothers Name,Family Name,Father_Education,Mother_Education,Father_Occupation,Mother_Occupation,Annual_Household_Income(NGN),Household_Size,Involvement_in_Kids_Education
ccf3a171-56dc-4907-ba6c-34ab6712303a,Tunde,Adaeze,Chidike,None,Primary,Unemployed,Civil Servant,"Above 600,000",5,Slightly involved
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Olabode,Ekundayo,Folami,Secondary,Tertiary,Unemployed,Nurse,"Below 200,000",6,Involved
23e2fcb4-72d8-467d-894a-05e430b187ef,Adegoke,Udo,Adewale,Tertiary,Tertiary,Farmer,Nurse,"Below 200,000",3,Very Involved
766ecb15-474e-4c19-aef9-12766c006f61,Chigozie,Ifiok,Taiwo,Secondary,Secondary,Unemployed,Trader,"400,000-600,000",6,Slightly involved
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Ndubuisi,Chidiebele,Obi,Primary,None,Civil Servant,Civil Servant,"Below 200,000",2,Involved
db20a56e-dc81-4fe7-8eda-8bbb71710434,Ayomide,Chinwendu,Ife,None,Tertiary,Trader,Engineer,"Below 200,000",3,Involved
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Jatau,Chisom,Olalekan,Primary,Primary,Nurse,Teacher,"400,000-600,000",5,Always busy
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Olabode,Bukola,Adewale,Primary,Tertiary,Unemployed,Trader,"Below 200,000",6,Involved
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Olabode,Chimezie,Inyene,Primary,None,Unemployed,Nurse,"400,000-600,000",4,Very Involved
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Uduak,Olufunmilayo,Chi,Secondary,Primary,Civil Servant,Farmer,"Above 600,000",4,Slightly involved
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Salisu,Itoro,Okeke,None,None,Unemployed,Unemployed,"Above 600,000",6,Slightly involved
2a25a888-0f02-4ad0-a706-7ef466aa9385,Enyinnaya,Chichi,Kayin,Secondary,Secondary,Teacher,Doctor,"200,000-400,000",6,Involved
63f2ae24-fc3d-4348-808d-4127610461e3,Emem,Gbemisola,Okechukwu,Secondary,Primary,Trader,Unemployed,"Below 200,000",2,Slightly involved
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Lekan,Adenike,Okorie,None,Secondary,Farmer,Civil Servant,"Above 600,000",5,Slightly involved
b253d218-6c4a-47ea-8906-17f2747b6dba,Tochukwu,Itoro,Uche,Primary,Secondary,Trader,Doctor,"Below 200,000",3,Very Involved
c88a618e-fed4-457d-bb02-6576f512c4c3,Adisa,Olufunmilayo,Ejiroghene,Tertiary,Primary,Civil Servant,Nurse,"200,000-400,000",2,Involved
7c967f79-b7e9-4aca-a970-65e18e46d534,Idowu,Eniola,Adebola,Tertiary,Secondary,Doctor,Teacher,"200,000-400,000",4,Involved
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Chikelu,Zainabu,Okeke,None,None,Unemployed,Farmer,"200,000-400,000",2,Slightly involved
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Segun,Halima,Chikelu,Primary,Tertiary,Engineer,Farmer,"Below 200,000",3,Slightly involved
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Uduak,Yalwa,Lekan,None,None,Nurse,Nurse,"400,000-600,000",6,Very Involved
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Rabiu,Adedayo,Ɗanjuma,Tertiary,Secondary,Unemployed,Doctor,"Above 600,000",6,Always busy
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Chinwendu,Adaeze,Nnamdi,Tertiary,Primary,Teacher,Teacher,"Below 200,000",5,Very Involved
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Ugochukwu,Ekene,Kelechi,Secondary,Tertiary,Teacher,Doctor,"200,000-400,000",2,Slightly involved
118a9d29-2f92-4996-99f1-95d014822f53,Ibrahim,Rakiya,Akpan,Tertiary,Tertiary,Engineer,Farmer,"Above 600,000",4,Involved
dca02eec-acda-4acc-9165-e21098543881,Olujimi,Halimatu,Obinna,Secondary,Secondary,Trader,Civil Servant,"Above 600,000",3,Very Involved
f10c718b-1eb0-438a-a75d-d5af3c365296,Uche,Ngozi,Chizoba,Secondary,Primary,Civil Servant,Nurse,"Below 200,000",2,Involved
94340a03-3f07-4814-91d6-3f78e3e9de99,Olanrewaju,Chigozie,Ekwueme,Secondary,Tertiary,Nurse,Teacher,"200,000-400,000",2,Involved
14fcdd54-9e8f-4965-8a2c-827e98326856,Ekenedilichukwu,Oluwaseun,Okechukwu,Tertiary,Primary,Teacher,Engineer,"400,000-600,000",6,Always busy
90b2b633-956b-4c0c-a849-9b926b5252e3,Ugochukwu,Faɗimatu,Chinweike,Primary,Tertiary,Trader,Engineer,"Below 200,000",6,Very Involved
42c18a62-ef48-48d5-90fd-9d3f85d51695,Dada,Hauwa,Ayuba,Secondary,Secondary,Teacher,Teacher,"Above 600,000",5,Involved
506e5a9a-b758-488d-ab73-295b344a54b8,Tochukwu,Oluwaseyi,Olu,Primary,Primary,Unemployed,Doctor,"400,000-600,000",4,Slightly involved
21813d25-6552-48a6-83ff-50113d1a85dd,Yalwa,Talatu,Oluwaseun,Secondary,None,Teacher,Trader,"200,000-400,000",5,Involved
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Opeyemi,Chima,Onyekachukwu,Tertiary,Tertiary,Nurse,Civil Servant,"Below 200,000",6,Always busy
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Haruna,Chidiebere,Ɗanladi,Tertiary,None,Engineer,Teacher,"200,000-400,000",4,Slightly involved
9f044aed-7552-4327-8262-7f7312922f83,Adisa,Akachi,Oghenekaro,Secondary,Primary,Trader,Civil Servant,"400,000-600,000",3,Involved
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Fumnanya,Kayin,Olufemi,Tertiary,Primary,Farmer,Nurse,"Below 200,000",4,Always busy
8181a8cc-3691-47eb-89a2-688b12c136e0,Chidubem,Idowu,Okeke,None,Tertiary,Nurse,Farmer,"200,000-400,000",6,Slightly involved
5958a499-eeea-463e-a1e8-ac6843e42caf,Chidiebele,Temitope,Chidubem,Primary,None,Doctor,Engineer,"Above 600,000",3,Involved
3e896c64-e117-4ac3-919c-4ea3e1805081,Bello,Toyin,Ekundayo,Secondary,None,Teacher,Engineer,"400,000-600,000",5,Always busy
702cdd20-2862-48b8-88f4-ef125e9953d2,Nnamdi,Adedayo,Abdullahi,Primary,Tertiary,Nurse,Nurse,"400,000-600,000",3,Very Involved
4d71c366-b41b-4143-8b10-550cd5704f32,Eseoghene,Abidemi,Ayodele,None,None,Farmer,Civil Servant,"Above 600,000",4,Involved
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Ese,Adedayo,Chidiebube,Primary,None,Farmer,Unemployed,"Below 200,000",5,Involved
aaf91531-0200-41f0-8768-a84fa76afde6,Chi,Chidiebube,Oluwasegun,Primary,None,Nurse,Teacher,"200,000-400,000",2,Slightly involved
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Chinwendu,Chinyere,Adekunle,Primary,Tertiary,Civil Servant,Unemployed,"Below 200,000",4,Very Involved
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Chukwuebuka,Chinonso,Ndubuisi,Secondary,Tertiary,Teacher,Nurse,"400,000-600,000",3,Always busy
