Student_ID,Class_ID,Name,Gender,Date_of_Birth,State of Origin,engagement_in_class,health_condition,Class Spec
ccf3a171-56dc-4907-ba6c-34ab6712303a,SS1 Class D,"Alaba, Oluwaseyi",Female,2008-10-19,Ebonyi,Troublesome,None,Science
310c0c00-3fa7-4104-9bf9-0e27dc96925e,SS2 Class B,"Babajide, Ebuka",Female,2010-03-22,Osun,Highly active,Ulcer,Art
23e2fcb4-72d8-467d-894a-05e430b187ef,SS3 Class F,"Chuks, Olayinka",Female,2008-11-12,Bauchi,Troublesome,Dyslexia,Art
766ecb15-474e-4c19-aef9-12766c006f61,SS3 Class A,"Ife, Ibrahim",Male,2010-06-06,Katsina,Slightly active,Dyslexia,Art
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,SS2 Class A,"Jatau, Chibueze",Female,2009-05-05,Ebonyi,Slightly active,None,Science
db20a56e-dc81-4fe7-8eda-8bbb71710434,SS1 Class B,"Chukwudi, Bamidele",Male,2009-03-04,Borno,Troublesome,Asthma,Science
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,SS1 Class C,"Chuks, Ejiroghene",Male,2006-11-12,Nasarawa,Troublesome,Dyslexia,Art
03c72ba8-d605-4770-8a63-f881ffd0f9d5,SS1 Class F,"Oluwafemi, Adetokunbo",Female,2007-07-14,Kebbi,Unactive,None,Science
c0e9ab30-ed26-42e9-97e0-11b7f8102383,SS1 Class A,"Itoro, Emem",Male,2010-04-19,Delta,Highly active,None,Art
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,SS1 Class B,"Akpan, Olusola",Female,2009-07-02,Kano,Slightly active,None,Science
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,SS3 Class C,"Oluwaseyi, Chidiegwu",Male,2010-04-07,Anambra,Slightly active,None,Art
2a25a888-0f02-4ad0-a706-7ef466aa9385,SS3 Class B,"Oluwafemi, Idowu",Female,2009-03-26,Akwa Ibom,Troublesome,None,Art
63f2ae24-fc3d-4348-808d-4127610461e3,SS1 Class A,"Ibrahim, Adebowale",Male,2008-11-23,Yobe,Troublesome,None,Science
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,SS1 Class F,"Uche, Alaba",Male,2008-09-27,Anambra,Troublesome,None,Science
b253d218-6c4a-47ea-8906-17f2747b6dba,SS3 Class C,"Okorie, Adetokunbo",Male,2008-05-13,Benue,Active,None,Science
c88a618e-fed4-457d-bb02-6576f512c4c3,SS2 Class A,"Ikenna, Chimezie",Female,2009-06-03,Sokoto,Unactive,None,Science
7c967f79-b7e9-4aca-a970-65e18e46d534,SS3 Class A,"Lawali, Ayodele",Male,2009-10-27,Cross River,Troublesome,None,Art
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,SS2 Class D,"Ekenedilichukwu, Babatunde",Female,2010-08-25,Sokoto,Troublesome,None,Art
bc594585-9445-48c0-8ef8-c2d6f7fd5646,SS3 Class E,"Chigozie, Chinweuba",Male,2009-03-23,Bauchi,Highly active,Dyslexia,Art
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,SS2 Class D,"Adebola, Oghenero",Female,2007-04-27,Ogun,Unactive,None,Science
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,SS1 Class F,"Ejiroghene, Ayotunde",Female,2009-02-27,Yobe,Slightly active,Dyslexia,Art
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,SS1 Class C,"Eniola, Uduakobong",Female,2007-11-30,Bauchi,Highly active,None,Science
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,SS2 Class C,"Lawali, Dada",Male,2009-12-05,Imo,Active,None,Art
118a9d29-2f92-4996-99f1-95d014822f53,SS1 Class C,"Adebowale, Adeola",Female,2010-07-23,Kano,Active,None,Art
dca02eec-acda-4acc-9165-e21098543881,SS3 Class E,"Abimbola, Onyekachukwu",Female,2010-04-11,Borno,Troublesome,None,Science
f10c718b-1eb0-438a-a75d-d5af3c365296,SS1 Class D,"Ime, Ayomide",Male,2009-09-26,Nasarawa,Troublesome,None,Art
94340a03-3f07-4814-91d6-3f78e3e9de99,SS3 Class D,"Tochukwu, Ejike",Male,2008-11-04,Kaduna,Slightly active,None,Science
14fcdd54-9e8f-4965-8a2c-827e98326856,SS2 Class A,"Chidiebele, Olusegun",Male,2008-08-17,Kogi,Active,None,Science
90b2b633-956b-4c0c-a849-9b926b5252e3,SS1 Class C,"Ndubuisi, Ekundayo",Male,2009-01-27,Gombe,Slightly active,None,Art
42c18a62-ef48-48d5-90fd-9d3f85d51695,SS1 Class F,"Ugochukwu, Shehu",Male,2007-10-07,Yobe,Active,Dyslexia,Science
506e5a9a-b758-488d-ab73-295b344a54b8,SS1 Class F,"Oghenekaro, Nonso",Male,2006-12-14,Delta,Active,None,Science
21813d25-6552-48a6-83ff-50113d1a85dd,SS2 Class A,"Usman, Chibuike",Female,2007-12-27,Bayelsa,Troublesome,None,Art
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,SS2 Class E,"Ese, Afolabi",Female,2008-11-23,Jigawa,Unactive,Dyslexia,Science
ef8c485b-c07a-40f2-add4-253b50f0fd0a,SS3 Class C,"Adebowale, Chijioke",Female,2008-12-21,Nasarawa,Highly active,None,Art
9f044aed-7552-4327-8262-7f7312922f83,SS2 Class B,"Oluwaseun, Adebola",Female,2008-06-18,Taraba,Highly active,None,Art
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,SS1 Class E,"Chima, Ufuoma",Male,2009-01-30,Ekiti,Troublesome,None,Science
8181a8cc-3691-47eb-89a2-688b12c136e0,SS1 Class B,"Olukayode, Folami",Male,2007-04-29,Ondo,Slightly active,None,Art
5958a499-eeea-463e-a1e8-ac6843e42caf,SS3 Class B,"Chijindum, Ifiok",Male,2008-02-18,Kebbi,Troublesome,Dyslexia,Art
3e896c64-e117-4ac3-919c-4ea3e1805081,SS3 Class F,"Ime, Chinweike",Male,2009-06-26,Zamfara,Active,None,Art
702cdd20-2862-48b8-88f4-ef125e9953d2,SS2 Class A,"Chidiebere, Olujimi",Female,2008-06-21,Oyo,Unactive,None,Science
4d71c366-b41b-4143-8b10-550cd5704f32,SS2 Class F,"Oyibo, Olufemi",Male,2007-03-26,Kwara,Troublesome,None,Art
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,SS1 Class B,"Nnamdi, Chibueze",Female,2010-04-18,Taraba,Troublesome,Asthma,Science
aaf91531-0200-41f0-8768-a84fa76afde6,SS1 Class B,"Umar, Adekunle",Female,2008-05-11,Bayelsa,Unactive,None,Science
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,SS2 Class A,"Otobong, Chinedu",Male,2009-05-15,Akwa Ibom,Active,Dyslexia,Science
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,SS3 Class A,"Olujimi, Olamide",Male,2007-12-04,Plateau,Troublesome,None,Art
e3c43657-1d8c-4bac-83b4-09ef2260e70f,SS3 Class C,"Ifiok, Adedayo",Female,2008-01-11,Rivers,Unactive,Dyslexia,Science
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,SS1 Class C,"Efe, Chika",Male,2007-06-08,Taraba,Troublesome,Dyslexia,Science
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,SS1 Class C,"Amadi, Ime",Female,2007-03-27,FCT,Highly active,Dyslexia,Art
afffcfd2-341e-440b-97c7-00aab7b56ea7,SS1 Class A,"Chukwuebuka, Folami",Male,2009-04-02,Katsina,Highly active,None,Science
