Teacher_ID,Staff_ID,Name,Teacher Type,Subject specialization
1064005c-3985-43cf-bf76-be1d1efa2197,bdd640fb-0667-4ad1-9c80-317fa3b1799d,"Uduakobong, Chinweuba",Regular,Mathematics
8dcdcd03-969b-4662-8562-8059568cc69b,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,"Inyene, Obinna",Regular,English Language
01d74256-3860-4ab6-96a4-02f23ae8cc93,37f8a88b-17fc-495a-87a0-ca6e0822e8f3,"Uduakobong, Nonso",Regular,Civic Education
0f1259e0-a18f-46b6-b535-106e122c9a56,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,"Abubakar, Chijindum",Regular,Economics
080aadfb-e7c9-4b26-9141-25c63a9bedd4,de8a774b-cf36-458b-8737-819096da1dac,"Rabiu, Oghenekevwe",Regular,CRS/Islam
839fbc50-1223-4513-9496-f63cdc1110c1,47229389-571a-4876-ac30-7511b2b9437a,"Oyibo, Ayo",Corper,Physics
7c441fe7-ab42-40a7-874a-493b3ceddf2d,6142ea7d-17be-4111-9a2a-73ed562b0f79,"Ahmadu, Ifeanyi",Regular,Chemistry
b92da22b-21df-406f-8a0b-3c3336d8393a,0b1f9163-ce9f-457f-83b7-a3a69a8dca03,"Toyin, Oyibo",Regular,Biology
93829b43-922f-415a-a1e3-db63ef7ddc76,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,"Ufuoma, Itoro",Regular,Geography
7914c120-c8dc-419f-be35-11287900f7f9,11ce5dd2-b45e-41f0-b139-d32c93cd59bf,"Olanrewaju, Chibuzo",Regular,Computer Science
1825bc54-30be-445f-a835-14f2ceb81f9d,daf61a26-146d-4f31-bc37-7a4c4a15544d,"Adetokunbo, Bello",Corper,Government
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,d58842de-a2bc-472f-b412-b29347294739,"Efe, Kehinde",Regular,Commerce
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,b3aa7efe-4458-4885-ab90-99a435a240ae,"Chidiebube, Olalekan",Regular,Literature
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,29d4beef-3eab-4dcb-baa8-0dd488bd6407,"Adekunle, Oluwafemi",Regular,History
0f844fef-1931-49ee-a56c-0941fbf24050,af42e12f-3838-4326-8e94-4239b02b61c4,"Olamide, Olujimi",Regular,Accounting
