Student_ID,Name,Gender,Age,Region,School_Type,Household_Size,School_ID
459ee674-73e7-4042-916c-3b0a53853918,Tony Taylor,Male,16,South West,Public,8,8b10550c-d570-4f32-b02c-dd20286218b8
27c8fc6c-1be5-44c3-95af-6d0cc5285425,Jerry Edwards,Female,17,North East,Private,7,48603b32-b4fb-4eb9-89c1-3de73b4206c5
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,Jodi Ford,Male,16,South East,Private,4,82ec9f2d-fbf6-416f-9b30-80d56fb78271
28597b34-1725-42c7-9eb2-a7b8da3c45ca,Elizabeth Bush,Male,15,South West,Private,6,cdfc6ee0-e61e-4e90-8267-deb3aab612c9
d5ff2a1f-370b-4a29-8a53-0df99a72083c,Brittany Dawson,Female,15,North Central,Public,6,21df306f-8a0b-4c33-b6d8-393a7c441fe7
837217e0-6570-46ea-9b11-f51ff7e9101d,Edwin Wilkins,Male,17,North East,Private,9,f26b4776-913e-4de2-a0c5-3cb83da9c2a9
67863fb3-f3bc-4a71-87f4-fee52c82989f,Kristi Pierce,Female,19,South South,Private,3,f26b4776-913e-4de2-a0c5-3cb83da9c2a9
cdcc2d6a-1a16-498c-b648-776e183fea70,Barbara Brown,Female,17,North East,Private,5,bf0d073d-821c-4336-9970-cf60ebff8d15
21768dd7-38e7-4019-bb89-86c8c7ecfe71,James Parks,Female,17,North Central,Public,2,bf0d073d-821c-4336-9970-cf60ebff8d15
95132c22-1583-4b99-a50a-13dcf004e897,Sylvia Jones,Female,15,South West,Private,7,48603b32-b4fb-4eb9-89c1-3de73b4206c5
e709fba6-329f-4417-9081-3d45ff45f8a2,Rhonda Davis,Female,15,South West,Public,10,23e2fcb4-72d8-467d-894a-05e430b187ef
54e07431-cf13-4b65-9450-afa2d8e70aeb,Tom Williams,Female,19,North Central,Private,8,82ec9f2d-fbf6-416f-9b30-80d56fb78271
d259f960-6ee3-4607-92ea-1324ec93e596,Kathleen Reyes,Male,17,North West,Private,9,cdfc6ee0-e61e-4e90-8267-deb3aab612c9
