,Student ID,First Name,Last Name,Gender,Age,State,City,School,Enrollment Date,Grade Level,Parent Name,Parent Occupation,Household Income (NGN),Parent Education Level,Household Size,Library Hours per Week,Teacher-Student Ratio,Allocated Teacher Hours,Extra-Curricular Activity,Weekly Hours in Activity,Mathematics,Science,English,Social Studies,Physical Education
0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Joshua,Walker,Female,5,Bayelsa,Lake Joyside,Inc,2022-10-22,10,Brandon Hall,Town planner,15340140,None,5,10,0.08,29,Drama,4,56.0,89.0,91.0,67.0,64.0
1,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Debra,Gardner,Male,6,Imo,South Bridget,Inc,2023-08-10,11,Jay Ramirez,"Engineer, structural",1123353,Tertiary,9,4,0.03,34,Debate,1,69.0,66.0,86.0,84.0,72.0
2,1a2a73ed-562b-4f79-8374-59eef50bea63,Christopher,Davis,Female,16,Rivers,Cassandraton,Ltd,2022-03-08,6,Thomas Miller,Hospital doctor,1714155,Secondary,7,8,0.07,20,Science,4,57.0,59.0,83.0,56.0,56.0
3,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Michelle,Ray,Male,16,Imo,North Donnaport,Inc,2024-01-24,5,Jamie Chavez,Medical sales representative,6701896,Tertiary,8,8,0.06,23,Chess,2,79.0,70.0,59.0,41.0,52.0
4,35a240ae-5af3-4553-9ec4-2e0829a3b2e9,Elizabeth,Miles,Female,13,Sokoto,New Cynthiaside,Ltd,2021-02-28,3,Devin Schaefer,"Surveyor, hydrographic",10724859,Secondary,7,10,0.09,18,None,5,72.0,92.0,71.0,44.0,63.0
5,d7c524a5-5304-417f-af42-e12f3838b326,Kayla,Brown,Male,12,Taraba,Port Leslieview,Inc,2021-01-01,3,Sherri Edwards,Restaurant manager,17338649,Primary,10,6,0.08,30,Chess,2,48.0,60.0,89.0,72.0,51.0
6,a491f0b2-ea1f-4a65-a27a-984d654821d0,Stephen,Baker,Male,13,Bayelsa,Lake Anna,LLC,2023-07-20,4,Kevin Cox,Corporate investment banker,3858497,Secondary,3,4,0.05,31,Debate,3,84.0,45.0,77.0,87.0,50.0
7,c17af08a-1745-46d8-be57-0ddf827050a8,Brandon,Rodriguez,Female,14,Bayelsa,Port Erin,PLC,2020-04-20,5,Zachary Rice,Surgeon,17533263,None,3,8,0.05,28,Art,5,72.0,84.0,96.0,53.0,97.0
8,ae270da7-02f0-4b90-b143-262fdc5c0eed,Jennifer,Maldonado,Female,14,Ogun,Kaylamouth,Inc,2021-05-24,8,Aaron Bowen,General practice doctor,15971060,Tertiary,6,3,0.06,39,Music,1,67.0,99.0,46.0,62.0,56.0
9,2dbc2134-c30f-446e-8026-695ff8cda88b,William,Rodriguez,Female,13,Osun,Meaganhaven,PLC,2020-12-11,11,Christopher Ashley,Set designer,5304121,Primary,3,3,0.09,17,Art,2,60.0,58.0,83.0,78.0,51.0
10,52fbe43b-9954-4eb4-8025-7ad1eb2263dd,Tracy,Rodriguez,Male,12,Katsina,Natashaport,and Sons,2020-04-10,12,Theresa Miller,"Radiographer, diagnostic",16645477,None,5,10,0.08,30,Drama,2,50.0,84.0,43.0,50.0,50.0
11,c2b6d2c5-fa5d-4100-91b7-e948d0e6e660,Amanda,Martinez,Female,16,Adamawa,Arroyoburgh,LLC,2022-07-05,7,Tracey Hickman,"Engineer, control and instrumentation",10755584,None,7,10,0.06,35,Music,3,72.0,69.0,99.0,73.0,79.0
12,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,Emily,Brooks,Male,10,Cross River,Martinezbury,Inc,2021-08-09,8,Crystal Robinson,Building services engineer,6760687,Primary,9,10,0.09,18,Science,3,51.0,56.0,60.0,50.0,54.0
13,3a9bedd4-0f12-49e0-a18f-f6b6b535106e,Carlos,Johnson,Male,13,Sokoto,Chadbury,LLC,2023-03-07,12,Carlos Walls,"Teacher, English as a foreign language",19292294,Secondary,9,5,0.07,28,Art,5,58.0,79.0,61.0,78.0,71.0
14,c8dcd19f-3e35-4128-b900-f7f993829b43,Thomas,Russell,Male,17,Adamawa,North Donnastad,Group,2021-12-14,12,Amy Valdez,Chief Technology Officer,17496103,None,8,7,0.05,22,Football,5,75.0,72.0,47.0,96.0,50.0
